log(sep) DeltaG log(RUWE) sigma_log(RUWE)
 2.725  1.300 0.993658  0.22835 
 2.775  1.300 0.879290  0.22845 
 2.825  1.300 0.765682  0.22854 
 2.875  1.300 0.656176  0.22863 
 2.925  1.300 0.553573  0.22873 
 2.975  1.300 0.460041  0.22882 
 3.025  1.300 0.377077  0.22889 
 3.075  1.300 0.305507  0.22892 
 3.125  1.300 0.245539  0.22894 
 3.175  1.300 0.196836  0.22908 
 3.225  1.300 0.158620  0.22955 
 3.275  1.300 0.129784  0.23073 
 3.325  1.300 0.109008  0.23312 
 1.275  1.400 0.051402  0.25136 
 1.325  1.400 0.057832  0.24565 
 1.375  1.400 0.067783  0.24154 
 1.425  1.400 0.082834  0.23852 
 1.475  1.400 0.104673  0.23619 
 1.525  1.400 0.134989  0.23429 
 1.575  1.400 0.175334  0.23268 
 1.625  1.400 0.226970  0.23132 
 1.675  1.400 0.290728  0.23021 
 1.725  1.400 0.366868  0.22936 
 1.775  1.400 0.454969  0.22876 
 1.825  1.400 0.553864  0.22836 
 1.875  1.400 0.661614  0.22812 
 1.925  1.400 0.775550  0.22798 
 1.975  1.400 0.892360  0.22787 
 2.025  1.400 1.008243  0.22776 
 2.075  1.400 1.119099  0.22764 
 2.125  1.400 1.220759  0.22751 
 2.175  1.400 1.309227  0.22737 
 2.225  1.400 1.380923  0.22726 
 2.275  1.400 1.432901  0.22720 
 2.325  1.400 1.463036  0.22719 
 2.375  1.400 1.470151  0.22725 
 2.425  1.400 1.454081  0.22737 
 2.475  1.400 1.415680  0.22753 
 2.525  1.400 1.356747  0.22771 
 2.575  1.400 1.279905  0.22790 
 2.625  1.400 1.188425  0.22807 
 2.675  1.400 1.086017  0.22822 
 2.725  1.400 0.976609  0.22835 
 2.775  1.400 0.864119  0.22846 
 2.825  1.400 0.752250  0.22857 
 2.875  1.400 0.644312  0.22869 
 2.925  1.400 0.543087  0.22881 
 2.975  1.400 0.450736  0.22892 
 3.025  1.400 0.368758  0.22899 
 3.075  1.400 0.297993  0.22902 
 3.125  1.400 0.238669  0.22903 
 3.175  1.400 0.190474  0.22912 
 3.225  1.400 0.152657  0.22951 
 3.275  1.400 0.124140  0.23057 
 3.325  1.400 0.103630  0.23280 
 1.275  1.500 0.053130  0.25153 
 1.325  1.500 0.058985  0.24577 
 1.375  1.500 0.068133  0.24165 
 1.425  1.500 0.082130  0.23862 
 1.475  1.500 0.102653  0.23630 
 1.525  1.500 0.131383  0.23442 
 1.575  1.500 0.169877  0.23284 
 1.625  1.500 0.219417  0.23150 
 1.675  1.500 0.280863  0.23040 
 1.725  1.500 0.354519  0.22955 
 1.775  1.500 0.440020  0.22893 
 1.825  1.500 0.536264  0.22853 
 1.875  1.500 0.641388  0.22827 
 1.925  1.500 0.752799  0.22811 
 1.975  1.500 0.867264  0.22799 
 2.025  1.500 0.981060  0.22787 
 2.075  1.500 1.090153  0.22774 
